Brand,model,Year,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year
Honda,City,2001,98000.0,Manual,second,Petrol,195000,3920.0
Toyota,Innova,2009,190000.0,Manual,second,Diesel,375000,11176.470588235294
Volkswagen,VentoTest,2010,77246.0,Manual,first,Diesel,184999,4827.875
Maruti Suzuki,Swift,2017,83500.0,Manual,second,Diesel,565000,9277.777777777777
Maruti Suzuki,Baleno,2019,45000.0,Automatic,first,Petrol,685000,6428.571428571428
BMW,X3,2014,83000.0,Automatic,first,Diesel,1350000,6916.666666666667
Toyota,Innova,2014,168000.0,Manual,second,Diesel,1025000,14000.0
BMW,5 Series,2019,25000.0,Automatic,second,Diesel,5950000,3571.4285714285716
Maruti Suzuki,maruti-suzuki-dzire,2020,33759.0,Manual,second,Petrol,622000,5626.5
Ford,Ecosport,2017,69713.0,Manual,second,Petrol,649000,7745.888888888889
Maruti Suzuki,Alto-K10,2018,70000.0,Automatic,first,Petrol,395000,8750.0
Kia,Carnival,2021,25000.0,Automatic,first,Diesel,2900000,5000.0
Maruti Suzuki,Swift-Dzire,2012,72700.0,Manual,second,Petrol,240000,5192.857142857143
Toyota,Corolla,2007,121931.0,Automatic,second,Petrol,201350,6417.421052631579
Mercedes-Benz,GLE COUPE,2021,32000.0,Automatic,second,Petrol,11800000,6400.0
Hyundai,Xcent,2018,130000.0,Manual,second,Diesel,330000,16250.0
Kia,Seltos,2020,68000.0,Manual,first,Diesel,1045000,11333.333333333334
Maruti Suzuki,Ertiga,2016,65000.0,Manual,second,Diesel,785000,6500.0
Maruti Suzuki,Ertiga,2017,59000.0,Automatic,second,Petrol,555000,6555.555555555556
BMW,3 Series GT,2015,61000.0,Automatic,second,Diesel,1500000,5545.454545454545
Ford,Endeavour,2019,77000.0,Automatic,second,Diesel,2399000,11000.0
Toyota,Innova Crysta,2017,107000.0,Automatic,first,Diesel,1325000,11888.888888888889
Honda,City,2010,99000.0,Manual,first,Petrol,295000,6187.5
Audi,A3,2015,42000.0,Automatic,second,Diesel,1050000,3818.181818181818
Renault,KWID,2019,48073.0,Automatic,second,Petrol,355000,6867.571428571428
MG,Hector,2019,32618.0,Automatic,first,Petrol,1250000,4659.714285714285
Maruti Suzuki,Swift-Dzire,2012,70000.0,Manual,second,Diesel,315000,5000.0
Maruti Suzuki,Celerio,2014,51000.0,Automatic,second,Petrol,345000,4250.0
Maruti Suzuki,Vitara-Brezza,2018,137000.0,Manual,first,Diesel,845000,17125.0
Toyota,2.8 Legender 4X2,2023,1996.0,Automatic,first,Diesel,4195000,665.3333333333334
Toyota,Innova Crysta,2017,90000.0,Manual,second,Diesel,1950000,10000.0
Toyota,Innova,2011,84000.0,Manual,second,Diesel,490000,5600.0
Volvo,S90,2018,53000.0,Automatic,first,Diesel,2950000,6625.0
Hyundai,Venue,2021,17000.0,Manual,first,Petrol,685000,3400.0
Maruti Suzuki,Ertiga,2018,70000.0,Manual,second,Petrol,749000,8750.0
Hyundai,Creta,2023,5000.0,Automatic,first,Petrol,1600000,1666.6666666666667
Hyundai,Alcazar,2022,47110.0,Manual,second,Diesel,1695000,11777.5
Hyundai,i20,2019,35000.0,Manual,first,Petrol,585000,5000.0
Mercedes-Benz,E-Class,2019,101570.0,Automatic,first,Diesel,4200000,14510.0
Volkswagen,Polo,2021,42000.0,Manual,second,Petrol,675000,8400.0
Maruti Suzuki,Baleno,2018,30000.0,Manual,second,Petrol,630000,3750.0
Hyundai,Verna,2016,82100.0,Manual,second,Diesel,465000,8210.0
Audi,A4,2012,90000.0,Automatic,second,Diesel,899000,6428.571428571428
Toyota,Fortuner,2011,193000.0,Manual,second,Diesel,1125000,12866.666666666666
Mercedes-Benz,C-Class,2015,65000.0,Automatic,first,Diesel,1750000,5909.090909090909
Hyundai,Creta,2022,30000.0,Automatic,second,Petrol,1690000,7500.0
Maruti Suzuki,Swift-Dzire,2020,94856.0,Manual,first,Petrol,690000,15809.333333333334
Skoda,Kushaq,2023,12000.0,Automatic,first,Petrol,1800000,4000.0
Maruti Suzuki,Ciaz,2018,0.0,Manual,first,Petrol,500000,0.0
Tata,Safari,2010,500000.0,Manual,first,Diesel,800000,31250.0
Toyota,Innova Crysta,2018,118000.0,Automatic,first,Diesel,1795000,14750.0
Mercedes-Benz,C-Class,2016,41000.0,Automatic,second,Petrol,2000000,4100.0
Honda,City,2010,79000.0,Manual,second,Petrol,290000,4937.5
Honda,BRV,2016,103001.0,Manual,second,Diesel,555555,10300.1
Hyundai,Creta,2017,70000.0,Manual,second,Petrol,765000,7777.777777777777
Renault,Duster,2018,130000.0,Manual,first,Diesel,690000,16250.0
Maruti Suzuki,Wagon-R,2011,78000.0,Manual,second,Petrol,225000,5200.0
Toyota,Fortuner,2017,115000.0,Automatic,second,Diesel,2390000,12777.777777777777
Mahindra,Bolero Power Plus,2017,160000.0,Manual,second,Diesel,550000,17777.777777777777
Hyundai,Eon,2017,27000.0,Manual,second,Petrol,300000,3000.0
MG,Hector Plus,2020,81600.0,Automatic,first,Petrol,1021000,13600.0
Hyundai,Creta,2017,54000.0,Automatic,first,Petrol,811000,6000.0
Mahindra,XUV500,2018,76000.0,Manual,first,Diesel,1125000,9500.0
Mercedes-Benz,GLS,2014,86000.0,Automatic,first,Diesel,3000000,7166.666666666667
Hyundai,i10,2011,65000.0,Manual,second,Petrol,115000,4333.333333333333
Mercedes-Benz,GLA Class,2018,60000.0,Automatic,second,Diesel,1450000,7500.0
Kia,Carens,2023,24000.0,Manual,first,Petrol,1225000,8000.0
Toyota,Innova,2011,100231.0,Manual,second,Diesel,429101,6682.066666666667
Maruti Suzuki,Ignis,2023,13000.0,Manual,second,Petrol,610000,4333.333333333333
Hyundai,Grand i10,2017,47000.0,Manual,first,Petrol,519999,5222.222222222223
Hyundai,Getz Prime,2007,115031.0,Manual,second,Petrol,140000,6054.263157894737
Maruti Suzuki,Swift,2014,67000.0,Manual,first,Petrol,280000,5583.333333333333
Hyundai,Xcent,2016,74500.0,Manual,first,Diesel,425000,7450.0
Honda,City,2016,93000.0,Automatic,second,Petrol,575000,9300.0
Maruti Suzuki,Ritz,2015,59000.0,Manual,first,Petrol,295000,5363.636363636364
Toyota,Innova Crysta,2017,79000.0,Automatic,second,Diesel,1725000,8777.777777777777
Hyundai,Verna,2022,69000.0,Automatic,first,Diesel,1250000,17250.0
Hyundai,Creta,2015,76000.0,Automatic,second,Diesel,650000,6909.090909090909
Kia,Sonet,2020,34500.0,Automatic,first,Petrol,935000,5750.0
Ford,Ecosport,2016,130000.0,Manual,second,Diesel,400000,13000.0
Mercedes-Benz,GLC Coupe,2022,20000.0,Automatic,first,Diesel,7500000,5000.0
Mahindra,Scorpio-N,2023,15905.0,Automatic,first,Diesel,2350000,5301.666666666667
Toyota,Innova Crysta,2021,21000.0,Manual,first,Diesel,2125000,4200.0
Mini,Cooper 3 DOOR,2019,13000.0,Automatic,first,Petrol,3950000,1857.142857142857
Maruti Suzuki,Ertiga,2015,75000.0,Manual,first,Diesel,435000,6818.181818181818
Volkswagen,Polo,2012,80000.0,Manual,second,Diesel,300000,5714.285714285715
Maruti Suzuki,Wagon-R,2016,50000.0,Manual,first,Petrol,245000,5000.0
Tata,Nexon,2022,40000.0,Automatic,second,Petrol,680000,10000.0
Maruti Suzuki,Ritz,2013,87000.0,Manual,first,Diesel,385000,6692.307692307692
Toyota,Etios,2015,155000.0,Manual,second,Diesel,589000,14090.90909090909
Volkswagen,CrossPolo,2014,80000.0,Manual,second,Diesel,425000,6666.666666666667
Maruti Suzuki,Wagon-R,2014,84000.0,Manual,second,Petrol,265000,7000.0
Volkswagen,Polo,2021,18000.0,Automatic,first,Petrol,850000,3600.0
Maruti Suzuki,Baleno,2017,47000.0,Automatic,first,Petrol,575000,5222.222222222223
Volkswagen,Vento,2011,134000.0,Manual,first,Diesel,425000,8933.333333333334
Maruti Suzuki,Alto-K10,2011,82000.0,Manual,first,Petrol,180000,5466.666666666667
Maruti Suzuki,Celerio,2015,35000.0,Automatic,first,Petrol,425000,3181.818181818182
Renault,Duster,2015,150000.0,Automatic,second,Diesel,450000,13636.363636363636
Toyota,Fortuner,2012,132000.0,Manual,first,Diesel,1095000,9428.57142857143
Land Rover,Range Rover Evoque,2017,130000.0,Automatic,second,Petrol,2500000,14444.444444444445
Maruti Suzuki,Ertiga,2020,59000.0,Automatic,first,Petrol,980000,9833.333333333334
Tata,Nexon,2018,95000.0,Automatic,second,Petrol,575000,11875.0
Tata,Indigo Ecs,2016,115000.0,Manual,second,Diesel,110000,11500.0
Mahindra,Thar,2022,11000.0,Manual,first,Diesel,1675000,2750.0
Toyota,Camry,2015,68000.0,Automatic,second,Petrol,1185000,6181.818181818182
Skoda,Kushaq,2021,74000.0,Automatic,first,Petrol,1199000,14800.0
Maruti Suzuki,Ritz,2012,88000.0,Manual,first,Petrol,385000,6285.714285714285
Hyundai,Grand i10,2014,47000.0,Automatic,second,Petrol,455000,3916.6666666666665
Mahindra,Bolero,2015,16.0,Manual,first,Diesel,390000,1.4545454545454546
Honda,Brio,2012,68000.0,Manual,first,Petrol,235000,4857.142857142857
Honda,City ZX,2007,115000.0,Manual,second,Petrol,265000,6052.631578947368
Hyundai,i10,2011,50000.0,Manual,second,Petrol,150000,3333.3333333333335
Honda,WRV,2017,98000.0,Manual,first,Diesel,600000,10888.888888888889
Land Rover,Discovery Sport,2019,62000.0,Automatic,first,Diesel,3099000,8857.142857142857
Tata,Harrier,2019,67000.0,Manual,second,Diesel,899000,9571.42857142857
Tata,Zest,2015,69000.0,Manual,second,Petrol,340000,6272.727272727273
Maruti Suzuki,Eeco,2021,49000.0,Manual,first,Petrol,540000,9800.0
Maruti Suzuki,Swift-Dzire,2013,162000.0,Manual,second,Diesel,390000,12461.538461538461
Toyota,Fortuner,2018,86000.0,Manual,first,Diesel,2499000,10750.0
Hyundai,Creta,2023,35000.0,Automatic,first,Diesel,2025000,11666.666666666666
Maruti Suzuki,Wagon-R,2014,38000.0,Manual,first,Petrol,370000,3166.6666666666665
Hyundai,Creta,2020,105000.0,Manual,first,Diesel,1050000,17500.0
